text,label,polylex,context
"Αν κάποια στιγμή πέσουν λίπη στα κάρβουνα και ανάψει φλόγα χρησιμοποιείστε ένα βαποριζατέρ νερού που πρέπει να έχετε πάντα δίπλα στην ψησταριά, οπότε με καλό σημάδι σβήνετε άμεσα την εστία της φωτιάς",0,0,1
Μέσα σε λίγα λεπτά άναψαν τα αίματα και ο διαπληκτισμός άρχισε να γίνεται όλο και πιο έντονος,1,1,1
"Σε ακραίες περιπτώσεις που έχετε κόψει βαθιά το δάχτυλό σας και η αιμορραγία δεν υποχωρεί, ασκείστε πίεση με το δάχτυλό σας στην κοντινότερη αρτηρία, ώστε να εμποδίσετε λίγο την ροή του αίματος σε εκείνο το σημείο και να του δώσετε χρόνο να πήξει στην πληγή",0,0,1
"Κάθε φορά που έμπαινε καλάθι, έβγαζαν τις ίδιες ακριβώς ιαχές για να πάει γούρι και να μην κόψει η μαγιονέζα",1,1,1
Έπεσε το ποτήρι από το χέρι μου κι έσπασε,0,0,1
Έπεσαν οι μάσκες και φάνηκε ξεκάθαρα το πραγματικό πρόσωπο του σάπιου κατεστημένου,1,1,1
Το γυαλί ακόμη κι αν ραγίσει μπορεί ξανά να κολλήσει και αυτό γίνεται με ένα πολύ απλό κόλπο που μπορεί να το κάνει ο καθένας στο σπίτι του,0,0,1
"Ράγισαν καρδιές χθες στο Μικτό Ορκωτό Δικαστήριο Ηρακλείου από τις περιγραφές του πατέρα του 17χρονου Αλβανού, που δολοφονήθηκε με τον πιο άγριο τρόπο μέσα στο φτωχικό διαμέρισμα των οικονομικών μεταναστών",1,1,1
Στην επόμενη σύγκρουσή σου με κάποιο έπιπλο ή κάποιον τοίχο πάρε το φακελάκι από το τσάι που έπινες και βάλε το στο σημείο που χτύπησες,0,0,1
Kτυπάω στο αδύνατο σημείο του εχθρού μου,1,1,0
Ντελίβερι αρνήθηκε να παραδώσει το φαγητό στον πελάτη επειδή ήταν μικρό το φιλοδώρημα και έφυγε,0,0,1
Έφυγε σαν κλέφτης από το σπίτι μου,1,1,0
"Η μόνη δικαιολογία που θα είχε ένας γονέας για να αντιταχθεί του νόμου και να υπερασπιστεί το δικαίωμα των παιδιών του στο να παίζουν μπάλα, θα ήταν ότι ο δήμος ή κοινότητα που μένει δεν διαθέτει χώρο ειδικό για τέτοιες δραστηριότητες",0,0,1
Δεν πρέπει να τον εμπιστεύεσαι γιατί το παίζει σε διπλό ταμπλό,1,1,1
"Μια νεαρή γυναίκα έπεσε από μπαλκόνι πολυκατοικίας, κάτω από αδιευκρίνιστες συνθήκες, στις 8 το βράδυ, στην οδό Κασσάνδρου στο κέντρο της Θεσσαλονίκης",0,0,1
Όμως οι συγγενείς της άτυχης γυναίκας επέμεναν ότι είχε υποστεί βασανιστήρια και έπεσε σε κώμα από τα χτυπήματα των ανακριτών,1,1,1
"Πλήρωσε μόνο για το δείπνο του, όταν έφτασε ο λογαριασμός",0,0,1
"Σ’ αυτή τη φάση κάθε πόντος, κάθε λάθος είναι σημαντικό και μπορεί να το πληρώσεις ακριβά",1,1,1
Θέλω να μπαίνω σε αεροπλάνο και να απολαμβάνω τη διαδρομή χωρις να με εξαντλεί το άγχος,0,0,1
"Εξηγεί ότι έχει κάθε δικαίωμα, χωρίς να μπαίνει σε ξένα χωράφια να ομιλεί για ζητήματα που αφορούν το περιβάλλον",1,1,1
Γιατί παίρνεις πάντα λαχανικά από το σουπερμάρκετ και όχι από τη λαϊκή;,0,0,1
"Δεν παίρνω πίσω αυτό που είπα, γιατί νομίζω ότι έχω απόλυτο δίκιο",1,1,1
Κάθε Κυριακή βράδυ βγαίνω στο μπαλκόνι και φωνάζω,0,0,0
"Έχω βγει στην τηλεόραση όταν ήμουν μικρός, σε εκείνο το show του Juniors TV με τον μάγο",1,1,0
"Αν και δεν έχει διευκρινιστεί, είναι δεδομένο πως ισχύει: όταν τρώμε φαγητά σε μπολ και όχι σε ίσια πιάτα μας φαίνονται πιο ελκυστικά. Άραγε αυτό ισχύει επειδή το μπολ μας δίνει την δυνατότητα να κρατήσουμε σταθερό το φαγητό μας ενώ τρώμε στον καναπέ μας",0,0,1
Γιατί λόγω δουλειάς έμαθα να τρώω κάτι στο πόδι,1,1,1
"Το φετινό ειδοποιητήριο, που είναι διαθέσιμο από το απόγευμα της Παρασκευής για τους ιδιοκτήτες οχημάτων για να πληρώσουν τα τέλη κυκλοφορίας 2021, περιλαμβάνει και έναν QR Code",0,0,1
"Μερικές άλλες φορές εκπληρώνω το καπρίτσιο μου και συνήθως, το πληρώνω ακριβά",1,1,1
Τί να φάω στο εστιατόριο εάν κάνω δίαιτα;,0,0,0
Την ίδια στιγμή τρώω στη μάπα όλη την προεκλογική κίνηση και όλους τους καβγάδες,1,1,0
"Σήμερα θα πούμε μυστικά για το πως πιάνουμε τις κότες, με απίστευτα γρήγορο τρόπο. Τόσα χρόνια εμπειρίας με τις κότες, έχω φτάσει πολλές φορές στα όρια μου, κυνηγώντας τες επι ώρες για να τις πιάσω",0,0,1
"Πρέπει να πιάσεις τον ταύρο από τα κέρατα, μην σου ξεφύγει τέτοια ευκαιρία",1,1,1
Πώς να παίξεις μελωδίες στο πιάνο με πολύ απλά βήματα. Ένας πρακτικός τρόπος για να εξοικειωθείς με το πιάνο παίζοντας απλές μελωδίες!,0,0,1
Το παίζω κορόνα γράμματα κάθε φορά που το σκάω από το σπίτι,1,1,0
"Αν σκέφτεστε σοβαρά κάτι τέτοιο, παίρνω το φάκελο και φεύγω",0,0,1
"Τον πήρε μονότερμα, γιαυτό θα είναι πιο αναλυτικός αυτή τη φορά",1,1,0
Το αμαξάκι μου πάλιωσε αλλά κρατάει ακόμη,0,0,0
Θέλω να με κρατάς ανά πάσα στιγμή ενήμερο για τις εξελίξεις!,1,1,0
Στην αρχαιότητα έβλεπαν τους αστερισμούς με γυμνό μάτι,0,0,1
"Kαι τον γιο μου τον βλέπω σαν φίλο μου, δεν έχω την αίσθηση ότι είμαι πατέρας",1,1,1
Άφησα το κινητό μου στο αυτοκίνητο. Πάω να το πάρω,0,0,1
Έτσι γενικά δεν αφήνω συνήθως βιβλία στη μέση,1,1,0
Θέλεις να βγεις Παρασκευή βράδυ και να βάλεις το λευκό μπλουζάκι που σου πάει με το κόκκινο παντελόνι. Είναι και τα δύο στα άπλυτα και δεν προλαβαίνεις να προγραμματίσεις δύο πλυντήρια. Έτσι καταλήγεις να τα βάλεις μαζί για πλύσιμο και να κάνεις το σταυρό σου,0,0,1
Έβαλε με το νου ότι του έχουν κάνει μεγάλο κακό,1,1,0
Μετά το καλοκαίρι θα πρέπει να ιδρώσω στο γυμναστήριο για να χάσω μερικά κιλά,0,0,1
"Παραβιάζεται καθημερινά όλος ο ποινικός κώδικας, το κράτος δικαίου, το Σύνταγμα και δεν ιδρώνει τ' αυτί κανενός",1,1,0
" Όταν τα ούλα πρήζονται ή μολύνονται, μπορούν να φουσκώσουν γρήγορα ή να γίνουν κόκκινα, καθώς απλά δεν υπάρχει άλλος χώρος για να πάει το πρόσθετο αίμα",0,0,1
Τι ήτανε να το μάθει! Μου'πρηξε τα αρχίδια όλο το βράδυ!,1,0,0
Η ομάδα διάσωσης έσωσε τους επιζώντες της πυρκαγιάς,0,0,1
Τους έσωσα τον γάμο με τις συμβουλές που τους έδωσα,1,1,0
Φροντίστε να παίρνετε φρέσκα φρούτα και λαχανικά και πάντα τρόφιμα της εποχής,0,0,0
Μου πήρε τα αυτιά με αυτά τα ντραμς που έπαιζε συνέχεια,1,1,0
"Ο νοικοκύρης του σπιτιού, αφού σταυρώσει τη βασιλόπιτα με το μαχαίρι τρεις φορές, αρχίζει να την κόβει σε τριγωνικά κομμάτια, προσφέροντας από ένα σε κάθε παριστάμενο μέλος της οικογένειας ή φίλων και συγγενών, με πρώτο κομμάτι του σπιτιού",0,0,1
Ο ΟΦΗ μπήκε σε φουλ ρυθμό στον αγώνα και κατάφερε να κόψει τον αέρα του Ηρακλή,1,1,1
Αν μάθεις πώς να ικανοποιήσεις έναν άντρα στο κρεβάτι τότε μπορείς να είσαι σχεδόν σίγουρη πως καμία άλλη γυναίκα δεν θα μπει στο μυαλό του,0,0,0
"Εισάγουμε τις διασημότερες κουζίνες στον κόσμο, σίγουρα μια θα ικανοποιεί τα γούστα κάθε νοικοκυράς",1,1,1
"Αν δεν έχεις μάθει μέχρι στιγμής να αλλάζεις μια λάμπα, τότε ήρθε η ώρα! Μάθε σε 5 απλά και πολύ εύκολα βήματα πώς να το κάνεις!",0,0,0
Μέχρι να υπογράψει του άλλαξε τα φώτα,1,1,0
Kάθε μέρα δημιουργεί επεισόδια στο σπίτι και ταράζει τον αδερφό του,0,0,1
Ταράζει τα νερά του Ισλάμ αμφισβητώντας την διδασκαλία και τα διδάγματα του κορανίου,1,1,1
Πόσες φορές σου έχει συμβεί να χάσεις τα κλειδιά σου και να ψάχνεις να τα βρεις με τις προσπάθειες να είναι άκαρπες;,0,0,1
"Ερχόμενος από μία σκληροπυρηνική συντηρητική οικογένεια και μετά την αυτοκτονία της αδερφής του, άρχισε να χάνει το μυαλό του",1,1,1
Έχασε μια περιουσία στο χρηματιστήριο,0,0,0
Δύο αθλητές του σνόουμπορντ έχασαν τη ζωή τους όταν καταπλακώθηκαν από χιονοστιβάδα στη Σιβηρία,1,1,1
"Αν περνάτε ένα ποτάμι από τη μια όχθη στην άλλη, σημαίνει πως θα περάσετε μια λαχτάρα και μια δοκιμασία χωρίς κανένα κίνδυνο",0,0,1
"Περνάει την φάση του τώρα που βρίσκεται στην εφηβεία, εξού και η αντιδραστικότητά του",1,1,1
Το να κόψουμε τέλεια το λάχανό μας μπορεί να γίνει απαιτητικό καθώς το σχήμα και το μέγεθός του δυσκολεύει την κατάσταση,0,0,1
"Βαριέμαι, κόντεψα να κόψω τις φλέβες μου από την πλήξη σε διάφορες δήθεν υψηλού επιπέδου παραστάσεις του Ηρωδείου",1,1,1
Δώσε μου λίγο το μολύβι σου να γράψω κάτι που θέλω,0,0,1
Φυσικά ο Γούντι Αλεν στο ρόλο του τίτλου έδωσε τα ρέστα του,1,1,0
Στην περίπτωση που σου αρέσει να φοράς την τσάντα σου από τον ώμο και να την κρατάς πάντα διπλά σου τότε ανήκεις στους πρακτικούς τύπους,0,0,1
Πάντα κρατάω τα φανάρι όταν βγαίνω με αυτούς τους δύο,1,1,0
"Πριν βάλετε το μωράκι σας επάνω στην αλλαξιέρα για να το καθαρίσετε, για να του αλλάξετε την πάνα ή για να το ντύσετε μετά το μπανάκι του, βεβαιωθείτε πώς έχετε όλα τα απαραίτητα δίπλα σας",0,0,1
Έχει μια άκαμπτη στάση στον τρόπο της σκέψης και δεν μπορεί να αλλάξει εύκολα τις ιδέες του,1,1,1
"Πρέπει να δείξεις στην είσοδο το ελευθέρας, αλλιώς δε θα σε αφήσουν να μπεις μέσα",0,0,1
Ο ήλιος έδειξε τα δόντια του σήμερα,1,1,0
"Τώρα που ξέρετε ποια ρούχα πρέπει να κρεμάσετε, ας καλύψουμε ποια ρούχα πρέπει να διπλώσετε - ξεκινώντας από τα πιο χοντρά κομμάτια, πλεκτά και όχι μόνο, του χειμώνα",0,0,1
Κρέμασε την παρέα για ακόμα μια φορά και δεν θα έρθει,1,1,1
"Θα μπορούσες να μου δώσεις εκείνο εκεί το βιβλίο, σε παρακαλώ;",0,0,0
"Εκνευρισμένη η ομάδα του Αμερικανού προέδρου με τη σφυγμομέτρηση, που δίνει προβάδισμα 14 μονάδων στον αντίπαλό του",1,1,1
Ένας άντρας σου δίνει μια βαλίτσα με ένα εκατομμύριο δολάρια. Τι κάνεις;,0,0,0
Ο ΠΟΥ δίνει πράσινο φως στο εμβόλιο της AstraZeneca για τους άνω των 65,1,1,0
Δεν χρειάζεται να παραλείψεις τα επόμενα γεύματά σου εάν έφαγες πολύ μέσα στη μέρα,0,0,1
"Έφαγα άκυρο με το που έφτασα στο μαγαζί, ήταν κλειστό",1,1,1
"Αν ονειρευτείς πως έδωσες, δάνεισες ή πλήρωσες χρήματα, σύντομα θα λάβεις κάποιο ποσό με απρόσμενο τρόπο. Αν δεις ότι σου δίνουν χρήματα χέρι με χέρι, θα περάσει καιρός για να μαζέψεις τα χρέη σου",0,0,1
Ο τύπος δίνει πόνο με τα νέα του τραγούδια,1,1,0
Τα τελευταία χρόνια μένω στην Αθήνα. εξακολουθώ να βρίσκομαι στην ίδια περιοχή,0,0,0
Έμεινα σέκος μόλις είδα πόσο έχει αδυνατίσει,1,1,0
Ήθελα να πάω στη Γερμανία να σπουδάσω όμως δεν κατάφερα να πάρω την υποτροφία,0,0,0
Η μαλακία έχει πάει σύννεφο,1,1,0
"Πόσες φορές έχετε φάει το ίδιο φαγητό στο τέλος μιας κουραστικής, δύσκολης ημέρας;",0,0,0
Έφαγα σκάλωμα με την πάρτη σου,1,1,0
Ο Γουίλ σήκωσε το παντελόνι του πριν μπει στο δωμάτιο για τη συνέντευξη,0,0,0
Δεν σηκώνουμε ποτέ χέρι στους συνανθρώπους μας,1,1,0
Έκανε μια απρόσεχτη κίνηση και έριξε κάτω τα ποτήρια,0,0,1
Ο Μιχάλης έριξε πιστόλι στην παρέα και δεν θα έρθει,1,1,1
"Ο τοκετός μπορεί να προκληθεί ύστερα από ιατρική παρέμβαση, φαρμακευτική ή μηχανική. Η πρόκληση πρέπει να γίνεται μετά τις 39 εβδομάδες κύησης, εκτός αν υπάρχει σοβαρός ιατρικός λόγος",0,0,1
Ο θάνατος κάποιου αγαπημένου προσώπου προκαλεί θλίψη στους συγγενείς του,1,1,1
"Εάν η τιμή που επιλέξουμε είναι υπερβολικά υψηλή, ρισκάρουμε να μην πουλήσουμε το αντικείμενο",0,0,1
Δυνατοί άντρες πουλάνε μαγκιά στα νεαρά παιδιά και τα εκφοβίζουν,1,1,1
Το αφεντικό μου με ζαλίζει για τις καθυστερημένες αναφορές,0,0,1
Μου ζαλίζεις τα αυτιά με αυτά τα ντραμς που παίζεις!!,1,1,1
"Ο Γιώργος είναι πολύ καλός μαθηματικός, αφού τελείωσε τη σχολή του με άριστα",0,0,1
Είμαι έξω φρενών με τα σχόλια των περιοδικών για εμένα,1,1,0
"Δεν έχω λεφτά για να πάω μια εκδρομή με το σχολείο μου σε άλλη πόλη, ή ακομα και να ξεκινήσω ζωγραφική που είναι ένα χόμπι με το οποίο θα ήθελα να ασχοληθώ",0,0,1
"Είμαι έντιμος, δεν έχω πάρε δώσε με την αστυνομία",1,1,1
Το έργο του Τάσου Ιορδανίδη «Θέλω να σου κρατάω το χέρι» επιστρέφει στο θέατρο,0,0,0
Σου το κρατάω μανιάτικο που δεν μου είπες πρώτα σ'εμένα το μυστικό σου,1,1,1
"Μπορεί να ασχολείται με τις ώρες, αλλά κάνει εξαιρετικά δημιουργήματα από χαρτί",0,0,0
Έκανα έκπληξη στον αδερφό μου την ημέρα των γενεθλίων του,1,1,0
Mου δίνεις το ψωμί; Ο Τάκης πήγε και το έβαλε στην άλλη άκρη του τραπεζιού,0,0,0
Δίνω προσοχή στις συμβουλές των γονιών μου,1,1,0
Δεν έγινα καθηγητής για να γίνω κάποιος. Έγινα…γιατί λατρεύω τα παιδιά,0,0,1
Φόραγα λάθος παπούτσια και έγινα ρόμπα στους μαθητές μου,1,1,1
«Έγινα γιαγιά στα 32 και όλοι όλοι νομίζουν ότι είμαι η μαμά του εγγονού μου!»,0,0,0
Γίνομαι σκουπίδι για αυτόν που αγαπώ,1,1,0
Οι μαθητές πρέπει να ασκηθούν στο κολύμπι,0,0,0
Άσκησα έφεση κατά της απορριπτικής απόφαση του πρωτοβάθμιου δικαστηρίου,1,1,0
Φεύγοντας βάλε το κλειδί κάτω από το χαλί,0,0,0
Μου έβαλε χέρι γιατί τράβηξα χρήματα από τα λεφτά της διαχείρισης,1,1,1
"Όταν θέλουμε να καταστήσουμε σαφές ότι δύο διαφορετικά φωνήεντα αντιστοιχούν σε δύο φωνήματα, βάζουμε διαλυτικά",0,0,0
Βάζω λόγια σε όποιον θέλω να τσακωθεί με το φίλο του,1,1,1
Χαίρομαι που σε βλέπω επιτέλους καλά,0,0,0
Άρχισα να βλέπω φως σε αυτή την υπόθεση,1,1,0
"Οι σωλήνες της αποχέτευσης θα βουλώσουν, εάν αδειάσεις εκεί λιωμένο λίπος",0,0,1
Κάποιος πρέπει να βουλώσει το στόμα στον Νίκο γιατί αλλιώς θα συνεχίσει να πετάει μπαρούφες,1,0,1
"Όταν αρρωσταίνω, μένω στο σπίτι για να γίνω καλά",0,0,1
Όταν μείνει πανί με πανί θα δουλεύει τόσο σκληρά για να επιβιώσει και να ξεπληρώσει τα χρωστούμενα,1,1,1
Καλημέρα αφέντη. Σας έφερα την εφημερίδα σας,0,0,0
Βασική του επιδίωξη είναι μέσα από τη δράση του να φέρει τα πάνω κάτω στην παρέα,1,1,0
Δεν είναι σωστό να έρχεσαι απρόσκλητος στο γάμο της πρώην κοπέλας σου,0,0,0
Η Ευρώπη έρχεται πρόσωπο με πρόσωπο με την απειλή,1,1,0
Κι εσύ χόρευες με εκείνο το φόρεμα που έδειχνε όλη σου την πλάτη γυμνή!,0,0,0
"Εδώ και μήνες τον χορεύει στο ταψί, τον κάνει ό,τι θέλει",1,1,1
Είναι γεγονός ότι τα δελφίνια είναι θηλαστικά,0,0,0
"Το κερασάκι στην τούρτα είναι γονείς και πεθερικά που 24 ώρες το εικοσιτετράωρο τριγυρνούν μέσα στα πόδια σας συμβουλεύοντας, διορθώνοντας και παρεμβαίνοντας",1,1,0
"Για ποιο λόγο βγάζω σπυράκια πάντα στο ίδιο σημείο; Μαρία, αφενός δεν είσαι η μόνη, αφετέρου σου έχουμε μερικές απαντήσεις",0,0,0
Πάντως η οικογένεια δεν την έβγαλε καθαρή αφού πρέπει κάθε μήνα να πληρώνει περίπου 400€ για το σέρβις και την ασφάλεια του αυτοκινήτου,1,1,0
"Βλέπω αυτή τη θέση ως μια ευπρόσδεκτη πρόκληση, που ανυπομονώ να αντιμετωπίσω",0,0,1
"Είναι μίζερος ανθρωπος, όλα τα βλέπει μαύρα",1,1,1
"Το νερό έχει ξεχειλίσει από την κατσαρόλα και ο ήχος από το νερό που τσιτσιρίζει πάνω στο μάτι της κουζίνας, για έναν αδιευκρίνιστο ακόμα λόγο, δημιουργεί φοβερό πανικό",0,0,0
"Θα είμαστε εδώ μέχρι να ικανοποιηθεί κάθε αίτημά μας, αιτήματα που εκφράζουν το σύνολο του λαού. Το ποτήρι ξεχείλισε, όλοι στον δρόμο!",1,1,1
"Αφού συνδεθείς στην εφαρμογή, στο πάνω μέρος της αρχικής σελίδας μπορείς να δεις τις παροχές σου ανά κατηγορία",0,0,0
Γράψε το όνομα αυτού του αξιωματικού και θα στον κάνω να δει το Χριστό φαντάρο,1,1,0
"Δώστε όσο το δυνατόν περισσότερες πληροφορίες μπορείτε για τον σκύλο σας και την στιγμή που χάθηκε (πόλη, περιοχή, νομό, ράτσα/μέγεθος)",0,0,1
"Κάπως έτσι αποδιαρθρώθηκαν, διασπάστηκαν και φτώχυναν οι μισθωτοί και χάθηκε η μπάλα με την κλοπή των πόρων του δημόσιου ασφαλιστικού και του όποιου προνοιακού συστήματος είχε απομείνει",1,1,1
Πόσο καιρό θα χρειαστώ για να μάθω να παίζω τουμπερλέκι;,0,0,1
"Πριν από πολλά-πολλά χρόνια, μία αλεπού τριγύριζε στο δάσος (τότε που υπήρχε), με την κοιλιά της να παίζει ταμπούρλο από την πείνα",1,1,1
"Όταν πήγε σπίτι της, πήρε το αγόρι και εξαφανίστηκε",0,0,0
Από το πρωί κλαίω όταν σκέφτομαι ότι η Λία γέννησε και τώρα που το διάβασα από εσάς με πήραν τα ζουμιά,1,1,1
Tον κάλεσα να φάμε βραδινό σπίτι μου,0,0,0
"Αποτελέσματα έχουν οι συλλογικές προσπάθειες όχι οι ατομικές, διότι εάν πάει κάποιος να πατήσει πόδι μόνος του, τον έφαγε η μαρμάγκα",1,1,1
"Δυσκολευόμουν να αναπνεύσω και φοβήθηκα, αλλά είμαι εντάξει",0,0,1
Ήταν πολύ εξοργισμένος. Τον φοβήθηκε το μάτι μου!,1,1,1
Άνοιξα την πόρτα για να φύγω πίσω με γυρνά πάλι η καρδιά δίπλα σου πεθαίνω λίγο λίγο νιώσε με ξανά μίλα ειλικρινά για μια φορά,0,0,1
Ο πρώην παίκτης του Πανιωνίου χτύπησε με κεφαλιά τον συμπαίκτη του και του άνοιξε η μύτη,1,1,0
"Όλοι έχουμε βιώσει αυτό το συναίσθημα. Διαβάζουμε ένα βιβλίο ή ανοίγουμε έναν φάκελο όταν, ξαφνικά, νιώθουμε έναν φριχτό πόνο στο δάχτυλό μας. Βλέπουμε λίγο αίμα και συνειδητοποιούμε ότι μόλις κοπήκαμε από το χαρτί",0,0,1
Πανικοβλήθηκα και για μια στιγμή μου κόπηκαν τα γόνατα. Συνήλθα όμως γρήγορα και το έβαλα στα πόδια,1,1,1
Έφυγε τρεις ώρες μετά το εγκεφαλικό της,0,0,0
Εγώ 5 χρόνια που έκανα να βγάλω το Οικονομικό μου έφυγε ο τάκος και ακόμη τη Μακροοικονομία δεν την έχω κατανοήσει πλήρως,1,1,0
Όλοι οι φανοί δείκτες κατεύθυνσης που ευρίσκονται στην ίδια πλευρά του οχήματος ανάβουν και σβήνουν με το ίδιο χειριστήριο,0,0,0
"Όταν έσβησε το καντήλι του παλικαριού, έκατσα και το ‘γραψα, γιατί έγινε θρήνος. Θρήνος και ύμνος",1,1,0
Περπατάτε στο ξύλινο πάτωμα και τρίζει; Είναι εκνευριστικό και σίγουρα θέλετε αυτό να σταματήσει,0,0,0
Θα τρίζουν τα κόκαλα των νεκρών αγωνιστών της αντιδικτατορικής αντίστασης στο άκουσμα της κυνικής ρητορικής των κομμάτων πως τάχα θέλουν να θωρακίσουν τη δημοκρατία απέναντι στη διαφθορά,1,0,0
"Αν δεν είναι προσεγμένη η κατασκευή της κεραμοσκεπής, η πιθανότητα να εμφανιστούν φθορές λόγω βροχής είναι αυξημένη. Αυτό έχει ως αποτέλεσμα τη δημιουργία ανοιγμάτων απ' όπου μπαίνει νερό από τα κεραμίδια και διαχέεται προς το εσωτερικό του σπιτιού.",0,0,0
"Επιτέλους το κλίμα βελτιώνεται, μπαίνει το νερό στ' αυλάκι!",1,1,1
Στο μέλλον λοιπόν παρακαλώ να δώσετε εντολή να χτυπά το κουδούνι δυνατότερα και για περισσότερη ώρα!,0,0,0
"Δε χρειάζεται να αναρωτηθούμε, λοιπόν, για ποιον χτυπάει η καμπάνα όταν οι ίδιοι οι καθηγητές και οι διοικήσεις σχολών αναγνωρίζουν την πιθανότητα να επιβαρυνθούν οι φοιτητές κάποιο κομμάτι του κόστους",1,0,0
"Η πέψη χρειάζεται καλή κυκλοφορία του αίματος στα αγγεία του στομάχου και του εντέρου. Όταν όμως κάνεις ζεστό μπάνιο, αυτό ανεβάζει την θερμοκρασία του σώματος σου και για να μπορέσει ο οργανισμός να την επαναφέρει στα φυσιολογικά της επίπεδα, αυξάνει την κυκλοφορία του αίματος στο δέρμα για να απελευθερώσει θερμότητα πιο εύκολα",0,0,0
Πήγε στον γιατρό για να τον κάνει καλά,1,1,0
Για μυρωδάτα ρούχα βάλτε τη σωστή δόση μαλακτικού και αλλάξτε το μαλακτικό σας τακτικά ώστε να μην το συνηθίζετε,0,0,0
Δεν την ευχαριστήθηκα χθες την ταινία και αυτό γιατί η παρέα που καθόταν πίσω μου δεν έβαλε γλώσσα μέσα,1,0,1
"Μπορείς να φέρεις, εδώ, εκείνη την καρέκλα;",0,0,0
"Η παρουσία του Άρη στους Διδύμους από τις 18/2 μέχρι και το τέλος του μήνα, σας ευνοεί ιδιαίτερα και φέρνει την τύχη με το μέρος σας",1,1,1
Πάτα το κουμπί του θυροτηλέφωνου για να ανοίξεις την πόρτα,0,0,1
Ανοίγω το λάκκο σε αυτούς που δεν συμπαθώ,1,1,1
Θα βρεις τις πληροφορίες που ζητάς στο διαδίκτυο. Εκεί είναι όλα πλέον,0,0,1
Έχει βρει παρηγοριά στο τσιγάρο και το ποτό,1,0,0
Και βασικά μας χρωστάει πολλά λεφτά. Δεν έπρεπε να του δίνουμε φιλοδώρημα όλα αυτά τα χρόνια,0,0,0
Η Μαρία έδωσε άκυρο στον Κώστα μόλις της ζήτησε να είναι μαζί,1,1,0
Ο δάσκαλος ζήτησε από τους μαθητές να κρύψουν τα βιβλία τους επειδή θα έγραφαν τεστ,0,0,1
Ζήτησα από τον ξάδερφό μου να κρύψει λόγια από τη μητέρα μου και να μη μαρτυρήσει τι κάναμε χτες,1,1,1
"Είναι κολλημένος με το σκάκι, το παίζει τέσσερα βράδια τη βδομάδα",0,0,1
Ο πρόεδρος παίζει σφαλιάρες με την εργατιά και όλοι αισθάνονται φίλοι μεταξύ τους,1,1,0
"Πήγα να πιω νερό κι έφαγα κατά λάθος ένα κομμάτι παστίτσιο, μια σοκοφρέτα, και μια μπανάνα",0,0,0
Έφαγα μια χιλόπιτα από το Γιάννη όταν του είπα ότι είμαι ερωτευμένη μαζί του,1,1,0
Αν δεις πως έχασες λεφτά στο όνειρό σου σημαίνει ότι κάποια στενοχώρια θα βρει την οικογένειά σου,0,0,0
Έχει χάσει το μυαλό του για την Ελένη,1,1,0
Tον έφεραν πάνω σε φορείο αφού δεν μπορούσε να πάρει τα πόδια του,0,0,1
"Ο Νίκος φέρνει γούρι στο σπίτι, κάθε φορά που έρχεται, έρχονται και χαρές",1,1,1
"Mη με προκαλείς, θα σε βαρέσω και δεν θέλω",0,0,0
Βαράω τις φρίκες της ζωής μου,1,1,0
Έκρυψε το γλυκό στο ντουλάπι για να μην το βρει η μικρή και το φάει,0,0,1
Έκρυψα το πρόσωπό μου για να μην με δεις,1,1,1
Kάθεται με τις ώρες στην αμμουδιά για να μαυρίσει αλλά αγνοεί τους κινδύνους που συνεπάγεται η εκτεταμένη έκθεση στον ήλιο,0,0,1
"Tα πεταμένα σκουπίδια, τα άθλια κτήρια αριστερά και δεξιά, η θλιβερή κατάσταση του δρόμου -ακόμα και η αισθητική των πολιτών μου μαύρισε την ψυχή",1,1,1
Μάλλον άφησα το πορτοφόλι μου πάνω στο τραπέζι,0,0,0
Έτσι γενικά δεν αφήνω συνήθως βιβλία στη μέση,1,1,0
"Βρες όλες τις απαντήσεις για το πώς να στείλεις δέματα, πώς να τα συσκευάσεις και πώς να κάνεις τις αποστολές σου εύκολες και γρήγορες!",0,0,1
"Θες να με στείλεις στα θυμαράκια? Αφού ξέρεις ότι έχω αλλεργία στα καρύδια, γιατί φτιάχνεις καρυδόπιτα?",1,1,1